City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,pundaguitan,6.3711,126.1689,79,77,100,15.01,PH,2023-02-04 20:59:36
96,port lincoln,-34.7333,135.8667,60,78,53,4.36,AU,2023-02-04 20:59:37
97,tuktoyaktuk,69.4541,-133.0374,-43,66,0,3.44,CA,2023-02-04 20:59:37
98,puerto escondido,15.85,-97.0667,84,48,0,7.34,MX,2023-02-04 20:56:20
99,pervomayskoye,43.919,46.7102,32,88,99,9.15,RU,2023-02-04 20:59:39
100,upernavik,72.7868,-56.1549,-6,95,100,6.26,GL,2023-02-04 20:59:40
101,husavik,66.0449,-17.3389,27,71,3,12.8,IS,2023-02-04 20:59:41
102,swan river,52.1058,-101.2676,12,79,100,6.91,CA,2023-02-04 20:59:44
103,baruun-urt,46.6806,113.2792,-3,88,29,3.09,MN,2023-02-04 20:59:45
104,komsomolskiy,40.4272,71.7189,39,87,100,9.22,UZ,2023-02-04 20:59:46
105,rio gallegos,-51.6226,-69.2181,64,63,75,9.22,AR,2023-02-04 20:58:58
106,marawi,7.9986,124.2928,66,90,100,1.59,PH,2023-02-04 20:59:47
107,gizo,-8.103,156.8419,82,77,98,6.89,SB,2023-02-04 20:55:51
108,clyde river,70.4692,-68.5914,-19,52,75,6.91,CA,2023-02-04 20:59:48
109,soyo,-6.1349,12.3689,80,85,90,10.22,AO,2023-02-04 20:59:49
110,nikolskoye,59.7035,30.7861,28,92,100,7.47,RU,2023-02-04 20:59:49
111,tura,25.5198,90.2201,56,54,0,2.42,IN,2023-02-04 20:59:50
112,noumea,-22.2763,166.4572,84,99,68,12.68,NC,2023-02-04 20:58:59
113,weligama,5.9667,80.4167,74,91,54,3.04,LK,2023-02-04 20:59:53
114,ocampo,21.65,-101.5,67,18,61,4.81,MX,2023-02-04 20:59:54
115,nantucket,41.2835,-70.0995,15,51,0,17.27,US,2023-02-04 20:58:51
116,kulhudhuffushi,6.6221,73.07,80,78,100,5.28,MV,2023-02-04 20:55:34
117,batagay,67.6333,134.6333,-42,100,100,1.21,RU,2023-02-04 20:59:56
118,kapaa,22.0752,-159.319,71,92,100,28.77,US,2023-02-04 20:59:56
119,williams lake,52.1415,-122.1445,42,60,40,17.27,CA,2023-02-04 20:56:41
120,lorain,41.3334,-82.1499,37,45,23,15.01,US,2023-02-04 20:59:59
121,kutum,14.2,24.6667,63,17,100,8.3,SD,2023-02-04 21:00:01
122,cidreira,-30.1811,-50.2056,77,65,57,9.78,BR,2023-02-04 20:55:23
123,puerto ayora,-0.7393,-90.3518,85,87,40,10.0,EC,2023-02-04 21:00:39
124,new norfolk,-42.7826,147.0587,57,66,15,1.01,AU,2023-02-04 21:00:40
125,aykhal,66.0,111.5,-36,100,100,2.35,RU,2023-02-04 21:00:42
126,kotka,60.4664,26.9458,13,93,11,6.76,FI,2023-02-04 21:00:46
127,canmore,51.0834,-115.3521,41,44,26,9.22,CA,2023-02-04 21:00:50
128,hirara,24.8,125.2833,69,71,75,12.93,JP,2023-02-04 21:00:51
129,tukrah,32.5341,20.5791,55,65,0,12.55,LY,2023-02-04 21:00:51
130,bethel,41.3712,-73.414,19,37,11,1.99,US,2023-02-04 21:00:52
131,mnogovershinnyy,53.9353,139.9242,-18,93,69,3.47,RU,2023-02-04 21:00:53
132,corn island,12.1694,-83.0418,79,76,5,18.01,NI,2023-02-04 21:00:54
133,bella union,-30.2752,-57.6007,88,19,0,12.37,UY,2023-02-04 21:00:56
134,narok,-1.0783,35.8601,57,50,60,4.7,KE,2023-02-04 21:00:58
135,bengkulu,-3.8004,102.2655,73,90,100,4.09,ID,2023-02-04 21:00:59
136,saskylakh,71.9167,114.0833,-38,100,83,2.53,RU,2023-02-04 21:01:00
137,victoria,22.2855,114.1577,64,86,100,8.01,HK,2023-02-04 21:00:06
138,vallenar,-28.5708,-70.7581,84,37,18,10.22,CL,2023-02-04 21:01:01
139,monkey bay,-14.0728,34.9201,77,69,99,1.99,MW,2023-02-04 21:01:02
140,torbay,47.6666,-52.7314,7,78,75,23.02,CA,2023-02-04 21:01:06
141,shache,38.4167,77.2406,23,84,69,5.06,CN,2023-02-04 20:59:36
142,seminole,28.7086,-81.2081,74,54,20,16.11,US,2023-02-04 20:56:54
143,ginir,7.1333,40.7,60,23,35,4.97,ET,2023-02-04 21:01:42
144,baiyin,36.5583,104.2081,32,42,99,4.72,CN,2023-02-04 21:01:43
145,bouar,5.934,15.596,71,21,64,5.37,CF,2023-02-04 21:01:44
146,kurilsk,45.2333,147.8833,20,62,99,14.0,RU,2023-02-04 21:01:46
147,la union,-5.4,-80.75,85,45,92,18.07,PE,2023-02-04 21:01:46
148,hualmay,-11.0964,-77.6139,75,73,93,8.68,PE,2023-02-04 21:01:47
149,kerema,-7.9631,145.7785,77,86,100,7.61,PG,2023-02-04 21:01:47
150,coos bay,43.3665,-124.2179,55,81,0,5.75,US,2023-02-04 21:01:48
151,lulea,65.5842,22.1547,-3,84,100,0.0,SE,2023-02-04 21:01:49
152,myitkyina,25.3833,97.4,59,56,0,3.04,MM,2023-02-04 21:01:50
153,narsaq,60.9167,-46.05,26,87,100,17.29,GL,2023-02-04 21:01:51
154,weihe,32.9952,105.3247,39,93,100,2.37,CN,2023-02-04 21:01:53
155,celestun,20.8667,-90.4,76,70,31,19.37,MX,2023-02-04 21:01:54
156,dunedin,-45.8742,170.5036,69,81,100,8.01,NZ,2023-02-04 21:01:56
157,mayo,38.8876,-76.5119,33,48,0,5.99,US,2023-02-04 21:01:57
158,tocopilla,-22.092,-70.1979,74,72,7,4.34,CL,2023-02-04 21:01:58
159,juan lacaze,-34.4342,-57.4381,77,52,0,13.31,UY,2023-02-04 21:01:59
160,yaan,7.3833,8.5667,87,19,100,3.65,NG,2023-02-04 20:57:33
161,les cayes,18.2,-73.75,80,61,19,10.78,HT,2023-02-04 21:02:03
162,college,64.8569,-147.8028,5,97,87,2.24,US,2023-02-04 21:02:07
163,chicama,-7.8447,-79.1469,73,56,42,10.85,PE,2023-02-04 21:02:10
164,haverfordwest,51.8017,-4.9691,48,91,100,1.99,GB,2023-02-04 21:01:35
165,turochak,52.2576,87.1224,12,99,100,0.65,RU,2023-02-04 21:02:22
166,tuni,17.35,82.55,66,81,5,3.78,IN,2023-02-04 21:02:25
167,cayenne,4.9333,-52.3333,77,94,75,8.05,GF,2023-02-04 21:02:30
168,hithadhoo,-0.6,73.0833,81,73,98,14.52,MV,2023-02-04 21:02:31
169,arlit,18.7369,7.3853,74,11,20,11.54,NE,2023-02-04 21:02:32
170,sijunjung,-0.6876,100.9537,71,97,99,1.57,ID,2023-02-04 21:02:33
171,namibe,-15.1961,12.1522,71,76,52,7.63,AO,2023-02-04 21:02:34
172,isangel,-19.55,169.2667,82,94,75,0.0,VU,2023-02-04 21:02:34
173,cortland,42.6001,-76.083,19,62,100,6.91,US,2023-02-04 21:02:35
174,sovetskiy,61.3614,63.5842,2,98,100,1.23,RU,2023-02-04 21:02:36
175,presidencia roque saenz pena,-26.7852,-60.4388,93,21,68,10.85,AR,2023-02-04 21:02:38
176,nagua,19.3832,-69.8474,82,73,20,13.8,DO,2023-02-04 21:02:40
177,murgab,37.4966,61.9714,37,81,100,0.0,TM,2023-02-04 21:02:41
178,vanavara,60.34,102.2797,-4,100,99,2.57,RU,2023-02-04 21:02:41
179,bridgewater,44.3835,-64.5155,6,72,98,23.0,CA,2023-02-04 21:00:42
180,talnakh,69.4865,88.3972,11,96,100,6.46,RU,2023-02-04 21:02:43
181,sao joao da barra,-21.6403,-41.0511,87,88,8,14.43,BR,2023-02-04 21:02:43
182,kawalu,-7.3817,108.2082,72,91,95,2.28,ID,2023-02-04 21:02:44
183,tual,-5.6667,132.75,81,81,100,14.58,ID,2023-02-04 21:02:44
184,waverly,42.7392,-84.6208,32,61,0,19.57,US,2023-02-04 21:02:45
185,stabat,3.761,98.4513,75,98,99,2.59,ID,2023-02-04 21:02:46
186,sinnamary,5.3833,-52.95,77,88,100,15.99,GF,2023-02-04 21:02:47
187,smoky lake,54.1169,-112.4686,37,87,100,8.05,CA,2023-02-04 21:02:49
188,marsa matruh,31.3525,27.2453,53,76,20,13.98,EG,2023-02-04 21:02:50
189,dikson,73.5069,80.5464,-4,98,100,3.38,RU,2023-02-04 21:02:51
190,longyearbyen,78.2186,15.6401,17,62,0,20.71,SJ,2023-02-04 21:02:52
191,deputatskiy,69.3,139.9,-31,99,96,3.65,RU,2023-02-04 21:02:52
192,souillac,-20.5167,57.5167,79,83,40,5.75,MU,2023-02-04 21:02:53
193,arraial do cabo,-22.9661,-42.0278,89,62,0,11.5,BR,2023-02-04 21:02:54
194,lebu,-37.6167,-73.65,64,81,54,8.93,CL,2023-02-04 21:02:55
195,morant bay,17.8815,-76.4093,82,67,5,10.49,JM,2023-02-04 21:02:56
196,tonj,7.2737,28.6822,79,19,10,4.07,SS,2023-02-04 21:02:58
197,vizinga,61.0749,50.1031,-4,100,100,0.65,RU,2023-02-04 21:02:59
198,alugan,12.2188,125.4808,78,86,98,14.54,PH,2023-02-04 21:03:00
199,constitucion,-35.3333,-72.4167,67,75,34,6.17,CL,2023-02-04 21:03:01
200,bredasdorp,-34.5322,20.0403,71,78,0,6.46,ZA,2023-02-04 21:03:01
201,daman,20.4167,72.85,71,39,1,6.15,IN,2023-02-04 21:03:04
202,san cristobal,7.7669,-72.225,78,36,13,6.44,VE,2023-02-04 21:02:37
203,jiaocheng,24.6774,116.1389,57,98,100,1.39,CN,2023-02-04 21:03:11
204,chuy,-33.6971,-53.4616,72,66,1,17.31,UY,2023-02-04 21:03:15
205,kalmunai,7.4167,81.8167,75,90,97,7.36,LK,2023-02-04 21:03:17
206,hare bay,48.8499,-54.0148,2,58,43,23.4,CA,2023-02-04 21:03:19
207,totma,59.9747,42.7642,18,97,100,2.66,RU,2023-02-04 21:03:21
208,vaitape,-16.5167,-151.75,81,70,70,19.08,PF,2023-02-04 21:03:22
209,altoona,40.5187,-78.3947,34,36,15,5.01,US,2023-02-04 21:03:24
210,solnechnyy,50.7214,136.6319,-13,98,99,2.28,RU,2023-02-04 21:03:29
211,ahipara,-35.1667,173.1667,70,78,100,9.48,NZ,2023-02-04 21:03:29
212,broome,42.2506,-75.833,20,58,100,10.36,US,2023-02-04 21:03:30
213,kavieng,-2.5744,150.7967,81,73,97,4.92,PG,2023-02-04 21:03:31
214,sao lourenco do sul,-31.3653,-51.9783,76,59,92,12.59,BR,2023-02-04 21:03:33
215,khatanga,71.9667,102.5,-37,100,53,5.14,RU,2023-02-04 21:03:34
216,vega baja,18.4444,-66.3877,79,86,40,1.99,PR,2023-02-04 21:03:36
217,nizhniy kuranakh,58.8353,125.4869,-13,100,100,1.52,RU,2023-02-04 21:03:37
218,kichmengskiy gorodok,59.9816,45.7854,15,98,100,1.72,RU,2023-02-04 21:03:37
219,amos,48.5669,-78.1162,7,93,100,12.24,CA,2023-02-04 21:03:38
220,labuhan,-6.8844,112.2051,76,89,100,6.93,ID,2023-02-04 20:58:58
221,amlagora,22.8333,87.3333,62,30,92,5.08,IN,2023-02-04 21:03:39
222,san matias,-16.3667,-58.4,83,77,96,2.57,BO,2023-02-04 21:03:39
223,sitka,57.0531,-135.33,37,94,100,2.91,US,2023-02-04 21:00:34
224,patos,-7.0244,-37.28,90,37,97,16.8,BR,2023-02-04 21:03:40
225,karla,59.3723,24.9275,24,75,0,4.61,EE,2023-02-04 21:03:41
226,mount gambier,-37.8333,140.7667,56,82,100,2.75,AU,2023-02-04 21:03:42
227,chifeng,42.2683,118.9636,20,40,73,5.28,CN,2023-02-04 21:03:43
228,tetiyiv,49.3767,29.6647,23,78,100,11.5,UA,2023-02-04 21:03:45
229,hasaki,35.7333,140.8333,37,57,3,17.29,JP,2023-02-04 21:03:46
230,voyskovitsy,59.5287,29.964,27,96,100,8.9,RU,2023-02-04 21:03:46
231,ushibuka,32.1906,130.0228,44,61,8,9.13,JP,2023-02-04 21:03:47
232,kumluca,36.3703,30.2869,47,84,100,3.47,TR,2023-02-04 21:03:47
233,rio grande,-32.035,-52.0986,82,62,0,17.0,BR,2023-02-04 21:03:48
234,la baule-escoublac,47.2922,-2.364,47,78,100,5.75,FR,2023-02-04 21:03:49
235,ostrovnoy,68.0531,39.5131,12,85,100,11.81,RU,2023-02-04 21:03:50
236,senj,44.9894,14.9058,43,70,26,20.36,HR,2023-02-04 21:03:51
237,bowen,-20.0167,148.2333,79,88,100,7.74,AU,2023-02-04 21:03:52
238,sao luis de montes belos,-16.525,-50.3722,77,88,100,3.69,BR,2023-02-04 21:03:54
239,bambous virieux,-20.3428,57.7575,79,83,40,5.75,MU,2023-02-04 21:03:55
240,cabo san lucas,22.8909,-109.9124,80,44,9,1.99,MX,2023-02-04 21:02:07
241,alofi,-19.0595,-169.9187,82,78,100,8.05,NU,2023-02-04 21:03:56
242,mitsamiouli,-11.3847,43.2844,81,73,97,2.15,KM,2023-02-04 21:03:57
243,belen,36.4891,36.2233,33,93,75,4.61,TR,2023-02-04 21:03:57
244,lukow,51.929,22.3796,25,83,74,13.15,PL,2023-02-04 21:03:58
245,altay,47.8667,88.1167,23,89,100,2.98,CN,2023-02-04 21:04:00
246,kenora,49.8167,-94.4337,7,78,100,0.0,CA,2023-02-04 21:04:01
247,lagoa,39.05,-27.9833,59,87,3,17.6,PT,2023-02-04 21:04:04
248,cap-aux-meules,47.3821,-61.8597,8,85,100,42.57,CA,2023-02-04 21:04:08
249,nalut,30.3333,10.85,50,60,59,14.09,LY,2023-02-04 21:04:11
250,kununurra,-15.7667,128.7333,75,94,100,3.44,AU,2023-02-04 21:04:19
251,pevek,69.7008,170.3133,-35,100,91,1.41,RU,2023-02-04 21:04:21
252,saint george,37.1041,-113.5841,59,32,0,3.44,US,2023-02-04 21:04:24
253,lexington,37.9887,-84.4777,50,48,0,14.97,US,2023-02-04 21:04:32
254,henties bay,-22.116,14.2845,64,87,99,7.23,NA,2023-02-04 21:04:33
255,praya,14.9215,-23.5087,72,60,56,19.57,CV,2023-02-04 21:00:07
256,la ronge,55.1001,-105.2842,10,67,100,1.14,CA,2023-02-04 21:04:33
257,krasnyy chikoy,50.3643,108.7512,-2,100,100,2.08,RU,2023-02-04 21:04:34
258,ichihara,35.5167,140.0833,42,52,2,8.61,JP,2023-02-04 21:03:40
259,birecik,37.0294,37.9903,36,92,100,5.77,TR,2023-02-04 21:04:36
260,elliot,-31.3333,27.85,61,70,47,5.57,ZA,2023-02-04 21:04:37
261,general salgado,-20.6483,-50.3606,76,85,99,5.23,BR,2023-02-04 21:04:38
262,dolores hidalgo,21.1561,-100.9308,71,20,3,3.58,MX,2023-02-04 21:04:40
263,atar,20.5169,-13.0499,63,17,71,11.63,MR,2023-02-04 21:01:03
264,priiskovyy,51.9333,116.6333,-23,100,69,1.59,RU,2023-02-04 21:04:42
265,adrar,20.5022,-10.0711,63,16,100,10.4,MR,2023-02-04 21:02:47
